590, f, 1
440, b, 1
640, f, 1
340, r, 1
450, b, 1
490, f, 1
10, u, 0
260, r, 0
40, u, 0
360, r, 0
350, l, 0
540, f, 1
120, r, 0
760, f, 2
790, f, 3
80, r, 0
310, l, 0
290, l, 0
70, l, 0
400, r, 0
770, f, 2
230, l, 0
280, r, 0
780, f, 2
320, r, 0
380, r, 0
330, l, 0
830, f, 3
180, r, 0
750, f, 2
680, f, 2
240, r, 0
370, l, 0
100, r, 0
90, l, 0
170, l, 0
220, r, 0
740, f, 2
420, r, 0
560, f, 1
430, b, 1
410, l, 0
250, l, 0
20, u, 0
520, f, 1
600, f, 1
270, l, 0
660, f, 1
110, l, 0
210, l, 0
580, f, 1
130, l, 0
550, f, 1
160, r, 0
820, f, 3
200, r, 0
470, b, 1
510, f, 1
670, f, 2
690, f, 2
730, f, 2
30, u, 0
50, u, 0
710, f, 2
460, b, 1
390, l, 0
480, b, 1
630, f, 1
140, r, 0
300, r, 0
500, f, 1
700, f, 2
800, f, 3
530, f, 1
150, l, 1
620, f, 1
720, f, 2
650, f, 1
190, l, 0
60, u, 0
570, f, 1
610, f, 1
840, f, 3
810, f, 3
